Cm0_caa_gly,Cm2_caa_gly,Cm4_caa_gly,Cm8_caa_gly,Cm12_caa_gly,Cm0_caa_glu,Cm2_caa_glu,Cm4_caa_glu,Cm8_caa_glu,Cm12_caa_glu,Cm0_gly,Cm2_gly,Cm4_gly,Cm8_gly,Cm12_gly,Cm0_glu,Cm2_glu,Cm4_glu,Cm8_glu,Cm12_glu
444.7543,469.4414,630.1089,164.0481,433.7198,639.5299,625.9804,486.2744,838.0114,859.4722,317.2318,595.3951,430.3429,470.3831,104.7905,478.5155,365.3326,358.526,209.8134,433.7198
671.3554,459.2726,526.3676,249.1519,470.4905,506.0048,470.2701,757.0945,862.251,528.9797,345.8604,400.8758,259.3152,314.0994,388.0685,517.1801,18.60406,551.171,280.5494,470.4905
491.0329,233.6327,468.2613,254.0309,616.279,657.3817,463.101,494.1773,515.355,645.1151,114.5846,673.5599,195.7775,131.0296,967.3703,514.0052,278.1069,315.789,306.9454,616.279
619.3681,258.3815,572.6942,289.0359,829.9306,719.1946,800.4853,571.5707,794.7493,402.3433,326.9236,206.263,238.6581,595.7542,364.7265,289.5314,221.7393,616.9549,-27.4082,829.9306
632.3104,145.1922,237.1014,354.5074,529.3749,841.9522,583.1032,680.2854,596.0081,417.7739,358.2436,170.2662,377.1902,286.0544,432.1862,359.1993,240.821,218.7583,261.5485,529.3749
592.2101,211.5395,898.7834,388.2938,722.8908,841.9522,635.728,590.2558,635.8513,543.9768,8.654898,247.7747,321.9438,79.90113,865.2273,426.1712,809.296,605.2653,391.3281,722.8908
546.5593,724.9917,582.0406,689.9756,1298.842,739.4795,520.0954,694.4351,403.2971,684.4091,294.115,324.9342,225.9369,890.4137,208.5976,544.9241,305.6821,218.703,302.5843,1298.842
489.0492,281.4608,1251.525,816.3415,325.4919,586.94,592.0815,395.7042,364.9138,745.0713,529.0192,224.7195,272.1739,314.4903,782.6843,123.2653,891.5837,768.9493,368.4405,325.4919
185.0141,757.09,594.3403,321.3283,307.3533,765.5949,463.9675,491.3165,553.9954,525.7543,194.9374,320.6246,306.4946,936.757,347.9393,550.5652,914.3409,527.4869,308.9159,307.3533
501.8411,163.1389,1021.063,333.7125,516.2838,492.3337,504.1603,787.9566,475.1765,542.6255,-10.1778,166.8011,937.5775,806.7806,283.9215,197.5177,926.7009,584.1863,363.7377,516.2838
623.5422,254.5384,190.0301,142.2647,423.4707,311.1236,478.3983,801.8679,449.6561,886.0519,334.9608,267.1777,470.8428,461.8989,562.6816,433.226,590.4939,267.9579,210.2787,423.4707
648.9961,27.5392,643.2038,513.0158,976.2613,647.9141,587.7336,792.2882,491.7593,810.7094,306.6823,267.94,285.7283,202.6189,685.7677,517.2951,229.0411,358.7303,420.2694,976.2613
383.6044,447.0174,472.4052,192.7816,373.2364,557.3287,557.0743,530.0539,1045.275,858.9398,591.4391,419.6381,412.9984,122.5535,555.1097,444.8725,446.8912,287.1467,313.7474,373.2364
468.4029,284.3155,509.7158,290.0593,850.4326,936.3163,820.4641,490.5011,474.5657,733.6849,513.6744,138.5123,239.8919,499.9278,333.6635,174.6689,277.3215,251.1752,208.2147,850.4326
676.9748,534.6897,742.9843,399.605,631.9856,570.8317,275.9781,239.5984,616.2095,898.4939,464.8638,126.1648,265.5387,333.5426,647.85,229.8352,627.1545,167.9583,151.9728,631.9856
555.9091,550.496,754.3493,258.6808,1347.224,668.013,568.2134,693.7198,289.1819,735.2738,569.35,361.3029,597.1726,160.9721,358.525,534.3517,434.7865,353.1837,277.8324,1347.224
738.7445,237.3737,190.3997,644.0197,559.9639,327.64,686.32,594.6121,421.6858,455.4165,419.6906,441.4787,332.7398,223.916,401.0129,469.6439,436.5128,446.2073,254.3203,559.9639
781.1332,465.961,725.3276,215.0986,464.464,671.5735,564.0886,681.3403,485.3147,819.6546,327.3156,180.2695,880.1075,851.7709,319.5938,511.3075,442.2778,119.3774,536.1642,464.464
444.1426,181.3657,626.3831,267.735,572.0383,528.8137,507.6167,835.8717,730.042,903.447,541.5718,456.7733,319.3324,241.1889,301.1192,558.7312,458.4191,357.7807,194.8818,572.0383
717.461,214.2693,452.9988,1337.024,439.5786,712.3843,635.172,829.9668,606.082,725.2544,330.6252,216.1039,362.8556,464.4705,243.8929,584.614,403.0564,451.1596,631.3377,439.5786
344.0759,665.0628,411.0396,827.3392,196.6316,781.6518,512.6522,715.759,624.8955,785.5546,447.2716,273.2353,711.8167,245.6528,913.2375,568.5425,465.0029,164.6637,232.7223,196.6316
528.605,683.1234,344.6363,410.61,396.5731,666.7062,640.6786,830.537,448.9345,831.4289,518.3961,383.1876,609.8069,205.9853,626.8198,446.9561,284.4529,176.2195,291.0731,396.5731
536.1097,180.2436,337.5756,755.1822,357.5976,643.662,614.5616,661.6248,510.0114,668.422,450.831,342.4817,395.7184,313.1935,363.1395,427.351,210.4728,398.6751,171.5742,357.5976
639.7932,633.424,184.9845,773.1193,446.2924,746.6942,487.5455,622.4829,435.2634,722.5198,369.0014,323.2734,470.6999,232.1658,612.2828,427.351,389.6245,510.9042,190.0251,446.2924
645.5584,536.0612,390.6272,1248.058,402.6066,807.0981,526.5263,603.5753,629.0834,563.534,389.3183,426.6599,526.3345,242.8818,414.1015,113.3793,37.03952,134.0941,367.3334,402.6066
854.4305,289.854,496.8474,824.5065,531.0609,679.8467,480.7202,484.5285,584.4035,714.5778,256.9241,720.6905,625.4713,121.3363,1079.198,137.5481,605.3571,294.1968,520.1518,531.0609
423.307,465.7772,321.6034,911.5799,584.4319,1096.952,596.3831,502.935,815.6944,838.318,376.1869,350.5697,573.903,168.0169,747.7399,497.4667,147.4461,325.4885,195.088,584.4319
665.354,149.232,292.5932,935.6075,551.7622,395.0987,654.5838,640.441,427.0236,742.4745,249.2955,223.6317,332.0882,132.3354,860.4731,272.2072,431.1687,395.5103,469.1016,551.7622
475.5824,368.1685,1090.097,249.4303,649.1658,795.0279,683.2873,648.5188,209.8735,731.462,319.4357,593.9688,529.4367,210.5336,367.6501,360.9266,227.1179,797.7886,253.9893,649.1658
702.8014,356.2588,318.5454,714.0892,176.6484,886.2125,596.7834,607.6658,643.0905,570.8212,309.2709,170.9278,903.2621,167.4176,1177.583,373.4146,361.4791,524.6486,314.933,176.6484
769.6853,803.2242,607.2366,64.03713,762.2607,667.536,818.7681,1158.493,607.6998,635.6965,369.7059,177.4794,254.2276,542.8404,1228.117,620.7435,184.0025,278.7512,302.2479,762.2607
669.1657,650.6829,209.4104,587.815,143.9631,973.0841,409.7236,468.1336,402.2354,685.1726,233.8464,194.6962,171.8796,164.2249,1543.29,441.6916,225.963,545.2794,350.8103,143.9631
322.2411,468.1525,498.6246,760.0259,222.5247,413.5895,443.5115,616.3508,780.2523,474.9881,402.8621,228.4721,365.3226,169.1865,618.1267,262.7699,479.5399,303.6244,474.1717,222.5247
983.7446,631.7082,664.0913,615.2958,340.2117,1004.749,812.3339,771.8138,610.5903,729.9046,232.3715,213.6133,266.0318,294.0121,406.9893,502.5477,195.7451,444.7397,220.679,340.2117
877.1607,692.0474,159.0233,385.263,688.9325,462.0202,458.8283,937.856,510.28,976.5257,169.2089,447.1115,172.3545,161.045,202.2478,559.4708,1049.155,346.3308,209.5866,688.9325
765.3424,561.7641,174.7026,571.0267,233.6373,690.1628,838.5114,982.4414,684.4451,904.1142,455.1916,306.354,103.0443,148.9543,436.3381,444.3552,520.247,503.5602,266.9865,233.6373
279.9126,516.5842,516.4513,664.0544,238.945,706.6236,625.8295,1026.468,1011.328,795.9366,518.7332,275.0461,362.7914,417.9281,214.3256,368.0851,-23.5422,428.3606,191.1976,238.945
447.758,464.9564,714.8661,621.8091,530.9754,721.6708,530.8085,484.5681,684.5308,440.7933,410.2154,326.3761,183.8994,293.2717,184.3751,211.2742,427.2413,393.6265,720.8125,530.9754
617.4308,418.4863,377.9593,364.276,141.7419,548.4552,594.0029,453.0767,567.8424,623.7566,525.8878,584.3014,134.3746,242.1015,372.6142,402.3462,427.3973,504.856,378.9455,141.7419
429.3694,673.787,592.0772,1152.259,124.0813,655.4957,606.4874,645.2861,979.9467,550.0045,610.4285,333.6703,224.9517,491.1429,453.6546,554.24,217.9542,508.5866,227.7324,124.0813
487.1375,366.6356,396.2166,1273.576,278.1641,664.0269,627.5502,567.8976,886.0625,885.7311,343.9447,445.7908,221.5042,472.8875,205.1115,479.9713,728.623,451.725,368.664,278.1641
707.5745,640.8514,693.9769,748.9458,289.0736,549.1617,487.2378,813.477,903.9812,541.3471,363.1527,283.1841,660.9781,236.5182,123.7273,573.3968,643.4712,300.8686,665.546,289.0736
529.5771,839.1349,793.7224,316.3139,186.3713,655.7744,499.6817,585.6681,525.1176,655.257,157.2789,229.7914,189.4931,17.75037,147.7151,529.6272,507.3081,588.9459,300.6694,186.3713
643.5964,474.7484,299.182,828.1142,253.2873,756.2978,801.0761,573.2748,804.3807,406.0633,366.5663,478.606,436.477,306.3078,871.5529,274.2931,417.6792,352.7851,626.0699,253.2873
683.2375,259.6695,297.6485,724.9384,193.9933,902.2832,632.16,738.5995,610.4025,478.4967,345.5305,286.104,254.2048,242.5314,165.1616,407.5994,207.566,464.572,1045.28,193.9933
565.3751,309.1353,276.1591,1066.312,335.1313,902.2832,631.4136,694.6828,709.0967,522.5193,70.33005,282.4237,127.3004,352.5734,9.409118,433.6273,315.6374,636.5842,853.5173,335.1313
668.3214,271.9416,158.0514,781.3994,537.4076,813.6947,550.2475,736.4183,490.5429,703.943,305.1969,213.1931,26.43269,349.5829,201.6771,582.975,331.4266,333.5186,255.6193,244.7646
508.4812,273.8382,559.2822,848.3406,168.8424,590.3132,612.2864,414.4737,403.6269,776.1165,566.5519,611.9614,149.8155,876.2063,173.9833,155.7875,491.485,466.7365,507.2043,537.4076
212.4168,620.2528,193.6965,610.5652,260.4101,818.5234,509.5083,482.9686,584.31,571.9556,161.3772,423.5241,133.5162,510.9241,334.2975,577.5433,268.8018,455.6737,588.2856,168.8424
