Cm0_caa_gly,Cm2_caa_gly,Cm4_caa_gly,Cm8_caa_gly,Cm12_caa_gly,Cm0_caa_glu,Cm2_caa_glu,Cm4_caa_glu,Cm8_caa_glu,Cm12_caa_glu,Cm0_gly,Cm2_gly,Cm4_gly,Cm8_gly,Cm12_gly,Cm0_glu,Cm2_glu,Cm4_glu,Cm8_glu,Cm12_glu,,
0.406498,0.849066,0.495214,1.120322,1.454519,0.637318,0.715887,0.709001,0.796609,0.74176,0.389795,0.387506,0.584517,0.775918,1.285733,0.482621,0.562215,1.003384,0.440553,1.454519,,
0.430805,0.819367,0.637034,0.524734,0.864317,0.642953,0.813816,0.489737,0.767264,1.169002,0.271278,0.548238,0.556821,0.606714,0.970879,0.367211,0.553917,0.627453,0.693958,0.864317,,
0.696902,0.727171,0.627136,0.887413,0.972609,0.735999,0.472344,0.733948,0.76582,1.060086,0.332292,0.455716,0.625109,0.848557,1.075323,0.470997,0.047638,0.791867,0.677628,0.972609,,
0.396029,0.898305,0.799672,1.646547,1.29404,0.677873,0.582073,0.536969,0.726281,0.952192,0.090713,0.415361,1.030823,1.256539,1.091861,0.517117,0.540262,0.738375,0.895794,1.29404,,
0.619399,0.924657,0.684115,0.688526,1.13127,0.639707,0.986842,0.550195,0.777931,0.58273,0.405488,0.450342,0.619945,0.699365,1.000957,0.326108,0.407451,0.656274,-0.15294,1.13127,,
0.636563,0.465921,0.834892,0.583241,0.51799,0.745958,0.646923,0.653601,0.659901,0.854332,0.417622,0.565359,0.861133,0.567105,1.552893,0.368058,0.341797,0.762625,1.170081,0.51799,,
0.738873,0.476615,0.822039,0.493956,1.002187,0.745958,0.74809,0.525536,0.724941,0.90854,0.006033,0.560806,1.112428,0.349911,0.950672,0.398777,0.441208,0.984507,0.914291,1.002187,,
0.444805,0.633145,0.587544,0.817688,0.852822,0.709345,0.673018,0.753224,0.704367,0.875493,0.25392,0.425024,0.495103,0.818293,0.965166,0.498833,0.195224,0.627701,0.899269,0.852822,,
0.454618,0.553592,0.547847,0.789627,1.221643,0.64887,0.684822,0.38092,0.529665,1.051009,0.42413,0.582139,1.404292,0.892383,0.914184,0.13515,0.426067,0.741597,1.008535,1.221643,,
0.209724,0.517607,0.624598,1.015376,1.376808,0.931028,0.479644,0.835535,0.565212,0.885936,0.414428,0.483541,0.467356,0.714939,0.710479,0.453054,0.477014,0.530167,1.030204,1.376808,,
0.543474,0.507878,0.622969,0.938245,1.004907,0.579711,0.528016,0.780346,0.993704,1.025267,-0.01923,0.436743,0.608815,0.68912,1.378935,0.309613,0.492375,0.748953,0.970787,1.004907,,
0.48027,0.798374,0.416433,1.359745,1.454938,0.838796,0.560756,0.857541,0.776294,1.356058,0.315575,0.523732,0.880038,0.683605,0.600177,0.487711,0.596562,0.807418,0.684984,1.454938,,
0.595736,0.082773,0.774757,1.020413,1.133077,0.659756,0.642993,0.642765,0.649433,0.87491,0.314749,0.61667,0.763368,1.165145,1.029971,0.465709,0.430301,0.60234,0.800736,1.133077,,
0.292692,0.62277,0.805582,1.122467,0.745464,0.640944,0.686811,0.566185,1.165453,1.243742,0.36047,0.521069,0.543843,0.945189,0.914329,0.436432,0.548776,0.482683,0.52616,0.745464,,
0.366758,0.587757,0.542088,0.786528,0.928212,1.126898,0.966795,0.608884,0.766164,0.901549,0.373594,0.759051,0.783368,0.78617,1.40834,0.199138,0.294998,0.924477,0.940917,0.928212,,
0.446168,0.785804,0.629946,0.591662,1.146811,0.55144,0.589039,0.471509,0.834652,0.940928,0.308538,0.320438,0.511326,0.601647,0.77824,0.218065,0.424972,1.42935,0.724004,1.146811,,
0.458237,0.519126,0.574565,1.291655,0.724059,0.746583,0.652263,0.716076,0.455818,0.797707,0.428367,0.46402,0.453839,0.782131,1.108937,0.464898,0.331523,0.682779,0.889124,0.724059,,
